thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7866838,192023906,702406044,2146969151,
1,0,slow_a,7869394,2665773835,2271976828,6593216921,
1,0,slow_b,7860745,2160758222,2826197266,6553239991,
1,0,slow_c,7873752,1660775283,12734430246,5053220101,
1,0,slow_d,7892855,6160774416,25312750847,14553226507,
1,0,slow_e,511237962,1910702007,5704389914,5084607092,
1,0,slow_f,7861082,192029454,699728616,2146993982,
2,1,fast,7871543,192029452,1389277526,2166986413,
2,1,slow_a,7869520,2665779888,4452362538,6613232470,
2,1,slow_b,10258646,2160643491,10357515714,6573268334,
2,1,slow_c,7894821,1660781743,26185055694,5073240475,
2,1,slow_d,8075555,6904511038,49010070591,18149052531,
2,1,slow_e,393687373,1910701094,8479753428,5104625548,
2,1,slow_f,7876130,192038980,1249571548,2167031485,
2,0,fast,7867558,192029813,978227783,2166986372,
2,0,slow_a,7871737,2665779819,2551219090,6613231790,
2,0,slow_b,188990343,2160765453,18501186729,6573273802,
2,0,slow_c,650569135,1651292785,105107887812,5073260100,
2,0,slow_d,916903107,7169186269,108113013264,19211531235,
2,0,slow_e,643760332,1910041575,10591480323,5104626345,
2,0,slow_f,7887599,192037010,991620091,2167031495,
